wellName,datasetName,ID,PC_PSI,Permeability,Porosity,ReferenceName,Rock,Sw,WellName
,,unitless,psi,mD,v/v,m,,v/v,unitless
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
